time	date	device
13:47:00	2014-01-13	1
14:54:00	2014-01-13	1
14:54:00	2014-01-13	1
14:54:00	2014-01-13	1
14:54:00	2014-01-13	1
14:54:00	2014-01-13	1
14:54:00	2014-01-13	1
14:54:00	2014-01-13	1
14:54:00	2014-01-13	1
14:54:00	2014-01-13	1
14:54:00	2014-01-13	1
14:54:00	2014-01-13	1
14:54:00	2014-01-13	1
14:54:00	2014-01-13	1
14:54:00	2014-01-13	1
14:54:00	2014-01-13	1
14:54:00	2014-01-13	1
14:55:00	2014-01-13	1
14:55:00	2014-01-13	1
14:55:00	2014-01-13	1
14:55:00	2014-01-13	1
15:30:00	2014-01-13	1
15:30:00	2014-01-13	1
15:30:00	2014-01-13	1
15:30:00	2014-01-13	1
15:30:00	2014-01-13	1
15:30:00	2014-01-13	1
15:30:00	2014-01-13	1
15:30:00	2014-01-13	1
15:30:00	2014-01-13	1
15:30:00	2014-01-13	1
15:31:00	2014-01-13	1
15:31:00	2014-01-13	1
15:31:00	2014-01-13	1
15:31:00	2014-01-13	1
15:31:00	2014-01-13	1
15:31:00	2014-01-13	1
15:31:00	2014-01-13	1
15:31:00	2014-01-13	1
15:31:00	2014-01-13	1
15:31:00	2014-01-13	1
15:31:00	2014-01-13	1
15:31:00	2014-01-13	1
15:31:00	2014-01-13	1
15:31:00	2014-01-13	1
15:31:00	2014-01-13	1
15:31:00	2014-01-13	1
15:32:00	2014-01-13	1
15:32:00	2014-01-13	1
15:32:00	2014-01-13	1
15:32:00	2014-01-13	1
17:04:00	2014-01-13	3
17:04:00	2014-01-13	3
17:05:00	2014-01-13	3
17:06:00	2014-01-13	3
17:07:00	2014-01-13	3
17:09:00	2014-01-13	3
17:11:00	2014-01-13	3
17:18:00	2014-01-13	3
17:19:00	2014-01-13	3
17:20:00	2014-01-13	3
17:20:00	2014-01-13	3
17:20:00	2014-01-13	3
17:20:00	2014-01-13	3
17:20:00	2014-01-13	3
17:21:00	2014-01-13	3
17:21:00	2014-01-13	3
17:21:00	2014-01-13	3
17:21:00	2014-01-13	3
17:21:00	2014-01-13	3
17:21:00	2014-01-13	3
17:22:00	2014-01-13	3
17:22:00	2014-01-13	3
17:22:00	2014-01-13	3
17:22:00	2014-01-13	3
17:22:00	2014-01-13	3
17:22:00	2014-01-13	3
17:22:00	2014-01-13	3
17:23:00	2014-01-13	3
17:23:00	2014-01-13	3
17:23:00	2014-01-13	3
17:23:00	2014-01-13	3
17:23:00	2014-01-13	3
17:23:00	2014-01-13	3
17:23:00	2014-01-13	3
17:24:00	2014-01-13	3
17:24:00	2014-01-13	3
17:24:00	2014-01-13	3
17:24:00	2014-01-13	3
17:24:00	2014-01-13	3
17:24:00	2014-01-13	3
17:24:00	2014-01-13	3
17:25:00	2014-01-13	3
17:25:00	2014-01-13	3
17:25:00	2014-01-13	3
17:25:00	2014-01-13	3
17:25:00	2014-01-13	3
17:25:00	2014-01-13	3
17:26:00	2014-01-13	3
17:26:00	2014-01-13	3
17:26:00	2014-01-13	3
17:26:00	2014-01-13	3
17:27:00	2014-01-13	3
17:27:00	2014-01-13	3
17:27:00	2014-01-13	3
17:27:00	2014-01-13	3
17:27:00	2014-01-13	3
17:27:00	2014-01-13	3
17:27:00	2014-01-13	3
17:30:00	2014-01-13	2
17:34:00	2014-01-13	2
17:34:00	2014-01-13	3
17:35:00	2014-01-13	2
17:35:00	2014-01-13	3
17:36:00	2014-01-13	2
17:36:00	2014-01-13	3
17:39:00	2014-01-13	3
17:39:00	2014-01-13	3
17:39:00	2014-01-13	3
17:40:00	2014-01-13	3
17:40:00	2014-01-13	3
17:40:00	2014-01-13	3
17:41:00	2014-01-13	3
17:42:00	2014-01-13	3
17:42:00	2014-01-13	3
17:42:00	2014-01-13	3
17:42:00	2014-01-13	3
17:43:00	2014-01-13	3
17:43:00	2014-01-13	3
17:43:00	2014-01-13	3
17:43:00	2014-01-13	3
17:44:00	2014-01-13	3
17:44:00	2014-01-13	3
17:45:00	2014-01-13	3
17:45:00	2014-01-13	3
17:45:00	2014-01-13	3
17:45:00	2014-01-13	3
17:46:00	2014-01-13	3
17:46:00	2014-01-13	3
17:46:00	2014-01-13	3
17:46:00	2014-01-13	3
17:47:00	2014-01-13	3
17:47:00	2014-01-13	3
17:47:00	2014-01-13	3
17:47:00	2014-01-13	3
17:48:00	2014-01-13	3
17:48:00	2014-01-13	3
17:48:00	2014-01-13	3
17:49:00	2014-01-13	3
17:49:00	2014-01-13	3
17:49:00	2014-01-13	3
17:49:00	2014-01-13	3
17:50:00	2014-01-13	3
17:50:00	2014-01-13	3
17:50:00	2014-01-13	3
17:50:00	2014-01-13	3
17:51:00	2014-01-13	3
17:51:00	2014-01-13	3
17:51:00	2014-01-13	3
17:51:00	2014-01-13	3
17:52:00	2014-01-13	3
17:52:00	2014-01-13	3
17:52:00	2014-01-13	3
17:52:00	2014-01-13	3
17:53:00	2014-01-13	3
17:53:00	2014-01-13	3
17:53:00	2014-01-13	3
17:54:00	2014-01-13	3
17:54:00	2014-01-13	3
17:54:00	2014-01-13	3
17:55:00	2014-01-13	3
17:55:00	2014-01-13	3
17:55:00	2014-01-13	3
17:55:00	2014-01-13	3
17:56:00	2014-01-13	3
17:56:00	2014-01-13	3
17:56:00	2014-01-13	3
17:56:00	2014-01-13	3
17:57:00	2014-01-13	3
17:57:00	2014-01-13	3
17:58:00	2014-01-13	3
17:58:00	2014-01-13	3
17:58:00	2014-01-13	3
17:59:00	2014-01-13	3
17:59:00	2014-01-13	3
17:59:00	2014-01-13	3
18:00:00	2014-01-13	3
18:00:00	2014-01-13	3
18:01:00	2014-01-13	3
18:01:00	2014-01-13	3
18:01:00	2014-01-13	3
18:02:00	2014-01-13	3
18:02:00	2014-01-13	3
18:02:00	2014-01-13	3
18:03:00	2014-01-13	3
18:03:00	2014-01-13	3
18:03:00	2014-01-13	3
18:18:00	2014-01-13	2
18:19:00	2014-01-13	2
18:54:00	2014-01-13	3
18:55:00	2014-01-13	3
18:55:00	2014-01-13	3
18:55:00	2014-01-13	3
20:16:00	2014-01-13	3
20:17:00	2014-01-13	3
20:23:00	2014-01-13	3
20:23:00	2014-01-13	3
20:23:00	2014-01-13	3
20:23:00	2014-01-13	3
20:24:00	2014-01-13	3
20:24:00	2014-01-13	3
20:25:00	2014-01-13	3
20:25:00	2014-01-13	3
20:26:00	2014-01-13	3
20:27:00	2014-01-13	3
20:28:00	2014-01-13	3
20:28:00	2014-01-13	3
20:28:00	2014-01-13	3
20:29:00	2014-01-13	3
20:29:00	2014-01-13	3
20:31:00	2014-01-13	3
20:32:00	2014-01-13	3
20:39:00	2014-01-13	3
20:39:00	2014-01-13	3
20:41:00	2014-01-13	3
20:42:00	2014-01-13	3
20:42:00	2014-01-13	3
20:42:00	2014-01-13	3
20:42:00	2014-01-13	3
21:11:00	2014-01-13	3
21:11:00	2014-01-13	3
21:11:00	2014-01-13	3
21:11:00	2014-01-13	3
21:11:00	2014-01-13	3
21:12:00	2014-01-13	3
21:12:00	2014-01-13	3
21:12:00	2014-01-13	3
22:39:00	2014-01-13	4
22:41:00	2014-01-13	2
22:42:00	2014-01-13	2
22:44:00	2014-01-13	4
22:45:00	2014-01-13	3
22:45:00	2014-01-13	3
22:45:00	2014-01-13	3
22:52:00	2014-01-13	2
22:53:00	2014-01-13	3
22:54:00	2014-01-13	3
22:54:00	2014-01-13	3
22:55:00	2014-01-13	3
23:02:00	2014-01-13	3
23:03:00	2014-01-13	3
23:03:00	2014-01-13	3
23:06:00	2014-01-13	2
23:22:00	2014-01-13	2
23:29:00	2014-01-13	2
23:34:00	2014-01-13	2
23:37:00	2014-01-13	2
23:44:00	2014-01-13	2
23:45:00	2014-01-13	2
23:52:00	2014-01-13	2
00:10:00	2014-01-14	2
00:11:00	2014-01-14	2
00:25:00	2014-01-14	1
00:33:00	2014-01-14	1
00:33:00	2014-01-14	1
01:34:00	2014-01-14	3
01:34:00	2014-01-14	3
01:34:00	2014-01-14	3
01:34:00	2014-01-14	3
01:34:00	2014-01-14	3
01:34:00	2014-01-14	3
01:34:00	2014-01-14	3
01:34:00	2014-01-14	3
01:34:00	2014-01-14	3
01:35:00	2014-01-14	3
01:35:00	2014-01-14	3
01:35:00	2014-01-14	3
01:35:00	2014-01-14	3
01:35:00	2014-01-14	3
01:35:00	2014-01-14	3
01:35:00	2014-01-14	3
01:35:00	2014-01-14	3
01:36:00	2014-01-14	3
01:36:00	2014-01-14	3
01:36:00	2014-01-14	3
01:36:00	2014-01-14	3
01:36:00	2014-01-14	3
01:36:00	2014-01-14	3
01:37:00	2014-01-14	3
01:37:00	2014-01-14	3
01:37:00	2014-01-14	3
01:37:00	2014-01-14	3
11:36:00	2014-01-14	4
11:42:00	2014-01-14	2
11:43:00	2014-01-14	2
11:43:00	2014-01-14	2
11:44:00	2014-01-14	2
11:44:00	2014-01-14	2
11:44:00	2014-01-14	2
11:44:00	2014-01-14	2
11:44:00	2014-01-14	2
11:45:00	2014-01-14	2
11:45:00	2014-01-14	2
11:45:00	2014-01-14	2
11:47:00	2014-01-14	2
11:47:00	2014-01-14	2
11:48:00	2014-01-14	2
11:48:00	2014-01-14	2
11:48:00	2014-01-14	2
11:49:00	2014-01-14	2
11:49:00	2014-01-14	2
11:49:00	2014-01-14	2
